signal_date,horizon,mover,low_avol_return,high_avol_return,spread,n_low,n_high
2015-02-20,1,negative,-0.006404539220312665,-0.0047885978125998,0.0016159414077128644,215,216
2015-02-18,3,positive,0.0033466542156825275,0.00033578309276199945,-0.003010871122920528,217,217
2015-02-18,3,negative,-0.008412110451683425,-0.0049970806317931995,0.003415029819890226,217,217
2015-02-13,5,positive,-0.008690914185345157,-0.005911963253273305,0.0027789509320718516,217,216
2015-02-13,5,negative,0.007932899838339407,0.00894228223672652,0.0010093823983871129,216,216
2015-02-23,1,positive,-0.003141298071939983,0.0007985692693818625,0.0039398673413218455,216,216
2015-02-23,1,negative,0.005580011947330719,0.004259250977787537,-0.0013207609695431825,215,216
2015-02-19,3,positive,0.0015956451913045797,0.005796082595124613,0.004200437403820033,216,216
2015-02-19,3,negative,-0.0022870185268683576,-0.0020069883926114064,0.00028003013425695117,215,216
2015-02-17,5,positive,-0.007867103797802984,-9.337753947769034e-05,0.007773726258325293,217,217
2015-02-17,5,negative,-0.001733571987112207,0.008100239770500325,0.009833811757612533,217,217
2015-02-24,1,positive,0.000478457586129135,0.0017573515640904684,0.0012788939779613336,216,216
2015-02-24,1,negative,0.005243402751328971,0.0065584383349117864,0.0013150355835828157,215,216
2015-02-20,3,positive,-0.0030138634731457117,0.006831085298333913,0.009844948771479624,216,216
2015-02-20,3,negative,0.00035362051335924733,0.004765459554326287,0.0044118390409670395,215,216
2015-02-18,5,positive,0.005934744022159719,0.0013656628811213182,-0.004569081141038401,217,217
2015-02-18,5,negative,0.0013038341721831788,0.0009241935185864106,-0.00037964065359676817,217,217
2015-02-25,1,positive,-0.007640801907612184,-0.0029913119768073546,0.00464948993080483,216,216
2015-02-25,1,negative,0.000480771851636609,-0.004097903783174089,-0.004578675634810698,215,216
2015-02-23,3,positive,-0.0031454249195276944,-0.002071045242164556,0.0010743796773631385,216,216
2015-02-23,3,negative,0.007137324607854433,0.008668240785743414,0.0015309161778889807,215,216
2015-02-19,5,positive,0.0012494505389968092,0.0037670103773916152,0.0025175598383948058,216,216
2015-02-19,5,negative,-0.003942398956439754,-0.005457417880034297,-0.0015150189235945428,215,216
2015-02-26,1,positive,-0.005131639368297985,-0.003937710112714016,0.0011939292555839696,216,217
2015-02-26,1,negative,0.0008722579457895919,0.0001676810421616474,-0.0007045769036279445,216,216
2015-02-24,3,positive,-0.006712142367410034,-0.0012488387971948843,0.0054633035702151495,216,216
2015-02-24,3,negative,0.0005205047026603549,0.0028791628742910573,0.0023586581716307023,215,216
