signal_date,mover,horizon,low_avol_return,high_avol_return,spread,low_signal_return,high_signal_return
2022-12-08,positive,5,-0.026926642134962164,-0.016720493674481925,0.010206148460480237,0.04407480927547002,0.047021209927358185
2022-12-08,negative,5,-0.024636433951010516,-0.0121965225063848,0.012439911444625714,-0.02473573525410975,-0.027705779314985517
2022-12-15,positive,1,-0.004833068206043849,-0.007502465706674434,-0.0026693975006305843,0.06720776663198413,0.010374210361834151
2022-12-15,negative,1,-0.006051769078755269,-0.009330479877140746,-0.0032787107983854786,-0.05811846911824771,-0.0592118776569013
2022-12-13,positive,3,-0.03483529769930601,-0.04456205981542737,-0.009726762116121368,0.04203792907564047,0.0434911838534653
2022-12-13,negative,3,-0.027153540041574907,-0.04044540264934779,-0.013291862607772875,-0.028379537085662522,-0.028797358881756073
2022-12-09,positive,5,-0.015053163698225491,-0.02189117424730374,-0.006838010549078249,0.01839135179412398,0.018727148498516713
2022-12-09,negative,5,-0.015100951967387621,-0.01628642241804388,-0.0011854704506562592,-0.04277571233524313,-0.04411494453698724
2022-12-16,positive,1,-0.02479347719532251,-0.02502180056731127,-0.00022832337198875688,0.02409420949181215,0.032836901253735076
2022-12-16,negative,1,-0.025224735837301986,-0.013760148603382562,0.011464587233919422,-0.03954550947356559,-0.03845122969405383
2022-12-14,positive,3,-0.06434594017244386,-0.06069860122605951,0.0036473389463843506,0.024753428463459105,0.02789503119242439
2022-12-14,negative,3,-0.053112294083037505,-0.03953602742221031,0.013576266660827197,-0.03476915805255225,-0.036218446120407796
2022-12-12,positive,5,-0.06454500839147824,-0.04589070177625222,0.018654306615226025,0.04774338544822757,0.052561616785165355
2022-12-12,negative,5,-0.058054961541460635,-0.03996815582135839,0.018086805720102257,-0.02324966529538527,-0.023969966993223228
2022-12-19,positive,1,0.004728426104045346,0.0033077036972344446,-0.0014207224068109035,0.018137433248443892,0.028827797680555066
2022-12-19,negative,1,-0.0006106567529940297,0.005762939345962727,0.006373596098956755,-0.06199388184201774,-0.0638135291516004
2022-12-15,positive,3,-0.009358516779625622,-0.023401960102829085,-0.014043443323203467,0.06720776663198413,0.010374210361834151
2022-12-15,negative,3,-0.03426449216845811,-0.026966510458886962,0.007297981709571147,-0.05811846911824771,-0.0592118776569013
2022-12-13,positive,5,-0.05205521344341081,-0.06447465227735164,-0.012419438833940828,0.04203792907564047,0.0434911838534653
2022-12-13,negative,5,-0.05768231815376851,-0.03732895605588585,0.020353362097882657,-0.028379537085662522,-0.028797358881756073
2022-12-20,positive,1,0.017993589321384965,0.02111956157027634,0.003125972248891367,0.03711835998132051,0.03715094595998377
2022-12-20,negative,1,0.01479062867928228,0.01515611130889519,0.0003654826296129097,-0.027022118212723316,-0.030043699925630118
2022-12-16,positive,3,-0.0026968846740872366,0.00020921930721660675,0.0029061039813038435,0.02409420949181215,0.032836901253735076
2022-12-16,negative,3,-0.013343607064457039,0.0025804086348083705,0.015924015699265413,-0.03954550947356559,-0.03845122969405383
2022-12-14,positive,5,-0.04524419338980894,-0.043914479851457945,0.0013297135383509994,0.024753428463459105,0.02789503119242439
