date,mover,low_signal_return,high_signal_return,signal_return_difference,low_rank,high_rank
2015-02-20,positive,0.022936573553325585,0.024530534167814498,0.001593960614488913,0.899614427336005,0.90038704914575
2015-02-20,negative,-0.017196013717552226,-0.017579297787401624,-0.0003832840698493982,0.0999584475848977,0.10005905927019616
2015-02-23,positive,0.0181217951823844,0.019257830284953304,0.0011360351025689053,0.899969626661042,0.9000369120438727
2015-02-23,negative,-0.023469441711785027,-0.024216304699166392,-0.0007468629873813651,0.10018793503480279,0.09984707867538493
2015-02-24,positive,0.023548762386045814,0.025206211993854734,0.0016574496078089196,0.9000269985235182,0.8999673064754271
2015-02-24,negative,-0.019541116358213727,-0.020187575331323582,-0.0006464589731098556,0.10008289390423959,0.09994726850875343
2015-02-25,positive,0.02584272925163626,0.02628813139014944,0.0004454021385131811,0.9000225377032607,0.8999810430533322
2015-02-25,negative,-0.017455742422857468,-0.020725725112991863,-0.003269982690134395,0.10015755329008343,0.09987467351925183
2015-02-26,positive,0.02063664078408458,0.02387482998925903,0.0032381892051744493,0.8999718013468012,0.900093644781145
2015-02-26,negative,-0.02607595455049626,-0.02828446403023179,-0.00220850947973553,0.10040614478114478,0.09969907407407406
2015-02-27,positive,0.021227291197268634,0.022483154164633912,0.0012558629673652781,0.8998388047138046,0.9002430555555556
2015-02-27,negative,-0.024574270934700475,-0.024944299337374375,-0.0003700284026738991,0.10000357744107743,0.10009469696969697
2015-03-02,positive,0.025608555186882487,0.027624202787510356,0.0020156476006278692,0.9000912454797747,0.8999400807333278
2015-03-02,negative,-0.026538354429983608,-0.024600729164662133,0.001937625265321475,0.10005340173240265,0.09994323437894206
2015-03-03,positive,0.01779906744679897,0.020253890299662895,0.002454822852863924,0.900003896705704,0.9000052658185188
2015-03-03,negative,-0.02393629754011659,-0.02548179932353355,-0.001545501783416961,0.10009583789704272,0.09994734181481171
2015-03-04,positive,0.017329311142233204,0.017534109857369765,0.00020479871513656017,0.9001788202508129,0.8998089346788836
2015-03-04,negative,-0.022892357266173002,-0.02813426017812039,-0.005241902911947389,0.10033378372672382,0.0997403200608031
2015-03-05,positive,0.020979009468040904,0.02430581386676812,0.003326804398727217,0.8998336925742783,0.9000929800092979
2015-03-05,negative,-0.019374280255712605,-0.01997243318354169,-0.0005981529278290855,0.1003474071256498,0.099801360889227
2015-03-06,positive,0.0073130063661394,0.008561175796630875,0.0012481694304914744,0.9000945734135388,0.900085253749047
2015-03-06,negative,-0.037966716508886056,-0.0382603236991298,-0.00029360719024374565,0.09995424891976616,0.10001906295009746
2015-03-09,positive,0.01994622213590043,0.022349492057096833,0.0024032699211964034,0.8997863084627792,0.9002323656735424
2015-03-09,negative,-0.02671129308021372,-0.027521101998445874,-0.0008098089182321522,0.09975500806383159,0.10024615906968848
2015-03-10,positive,0.007071775793403445,0.00838430747517321,0.0013125316817697652,0.8999146173407777,0.9002933697026524
2015-03-10,negative,-0.036554723072883155,-0.037565284626641784,-0.0010105615537586293,0.09995471593572859,0.09994779013766357
2015-03-11,positive,0.02575921908999576,0.026647560093528512,0.0008883410035327513,0.8999780058651025,0.9000180628160994
2015-03-11,negative,-0.017294272986105284,-0.018797979198826996,-0.0015037062127217123,0.1003736877895363,0.09966530664286626
2015-03-12,positive,0.0349462315786679,0.03607754699573124,0.001131315417063343,0.900036248830683,0.8999681095331236
