spec,signal_date,mover,horizon,low_avol_return,high_avol_return,spread,low_signal_return,high_signal_return
MAIN_20D_1M_TAIL20,2015-02-06,positive,1,0.0020524043494980606,-0.0035893135183133274,-0.005641717867811388,0.024151786840238006,0.026511589631704913
MAIN_20D_1M_TAIL20,2015-02-06,negative,1,-0.003497376006474905,-0.007175590629232604,-0.003678214622757699,-0.03360507032927063,-0.03566007144537188
AVOL10,2015-02-06,positive,1,0.00169767124972157,-0.0031972778021534197,-0.0048949490518749895,0.02412614138511232,0.02653564896609168
AVOL10,2015-02-06,negative,1,-0.002777276342501387,-0.007837608807612997,-0.00506033246511161,-0.03355097599322583,-0.035707297639707584
LIQ5M,2015-02-06,positive,1,0.003331816072504631,-0.00250671043555071,-0.005838526508055341,0.0250007876266099,0.02635061206160188
LIQ5M,2015-02-06,negative,1,-0.0023166428753016886,-0.008172804014611082,-0.005856161139309393,-0.035333511667298194,-0.037047483048883494
LIQ10M,2015-02-06,positive,1,0.0016284429077164677,-0.0003678911503729574,-0.001996334058089425,0.023059883875413686,0.025816732341218222
LIQ10M,2015-02-06,negative,1,-0.000700845377171807,-0.008426143742846335,-0.007725298365674528,-0.03580067901111439,-0.037715418163904765
TAIL10,2015-02-06,positive,1,0.007976631713547726,0.0006518320747409161,-0.007324799638806809,0.035347201603388126,0.04001840355122102
TAIL10,2015-02-06,negative,1,-0.0030653610109770825,-0.007416707811319817,-0.004351346800342734,-0.04419280535890113,-0.048291118425067066
MAIN_20D_1M_TAIL20,2015-02-04,positive,3,-0.004643506366487899,0.004550017230291892,0.00919352359677979,0.01809023828996949,0.018456226883610073
MAIN_20D_1M_TAIL20,2015-02-04,negative,3,0.025313018173811548,0.01874408012174781,-0.006568938052063739,-0.032775701479795895,-0.034410677755196
AVOL10,2015-02-04,positive,3,-0.0005118439867795685,0.0003771326177407189,0.0008889766045202874,0.017945435001143324,0.018599321046718124
AVOL10,2015-02-04,negative,3,0.026150031388219537,0.017975704649384857,-0.00817432673883468,-0.03275254676536808,-0.03443022654639309
